Entity,Entity_Type
KATHMANDU,PERSON
29,CARDINAL
Nepal,PERSON
an estimated 429,CARDINAL
355,CARDINAL
2022,DATE
nearly four,CARDINAL
121,CARDINAL
2010,DATE
Wednesday,DATE
17th,ORDINAL
The Ministry of Forests and Environment,ORG
the National Tiger,ORG
Prey Base Survey,PERSON
2026,DATE
Kathmandu,GPE
between December 2025,DATE
July 2026,DATE
the Department of National Parks and Wildlife Conservation,ORG
the Department of Forests and Soil Conservation,ORG
NTNC,CARDINAL
WWF Nepal,ORG
ZSL Nepal,ORG
Chitwan National Park,ORG
145,CARDINAL
Bardiya,NORP
112,CARDINAL
Parsa,ORG
71,DATE
Banke,PERSON
51,CARDINAL
Shuklaphanta,ORG
50,CARDINAL
five,CARDINAL
2022,DATE
Bardiya,NORP
125 to 112,CARDINAL
"1,100",CARDINAL
Chitwan,GPE
Banke-Bardiya,ORG
Shuklaphanta,GPE
about 250,CARDINAL
at least 15 nights,DATE
Worldwide,PERSON
"about 3,200",CARDINAL
2010,DATE
"5,357",CARDINAL
2025,DATE
India,GPE
"3,167",CARDINAL
Russia,GPE
750,CARDINAL
Indonesia,GPE
400,CARDINAL
Nepal,PERSON
Indonesia,GPE
WWF Nepal Country,ORG
Ghana Shyam Gurung,PERSON
Nepal,PERSON
400,CARDINAL
16,CARDINAL
Chitwan,GPE
Bardiya,NORP
Banke,PERSON
the Central Zoo,ORG
Jawalakhel,GPE
52,CARDINAL
Tiger Sanctuary,ORG
Devnagar,GPE
Chitwan,GPE
WWF Nepal,ORG
