Word,POS_Tag
KATHMANDU,PROPN
JULY,PROPN
Nepal,PROPN
tiger,NOUN
population,NOUN
climbed,VERB
estimated,VERB
times,NOUN
recorded,VERB
government,NOUN
announced,VERB
Wednesday,PROPN
country,NOUN
marked,VERB
Global,PROPN
Tiger,PROPN
Day,PROPN
Ministry,PROPN
Forests,PROPN
Environment,PROPN
unveiled,VERB
findings,NOUN
National,PROPN
Tiger,PROPN
Prey,PROPN
Base,PROPN
Survey,PROPN
Kathmandu,PROPN
survey,NOUN
conducted,VERB
December,PROPN
July,PROPN
Department,PROPN
National,PROPN
Parks,PROPN
Wildlife,PROPN
Conservation,PROPN
Department,PROPN
Forests,PROPN
Soil,PROPN
Conservation,PROPN
supported,VERB
NTNC,NOUN
WWF,PROPN
Nepal,PROPN
ZSL,PROPN
Nepal,PROPN
Chitwan,PROPN
National,PROPN
Park,PROPN
recorded,VERB
tiger,NOUN
population,NOUN
followed,VERB
Bardiya,PROPN
Parsa,PROPN
Banke,PROPN
Shuklaphanta,PROPN
parks,NOUN
registered,VERB
increases,NOUN
census,NOUN
Bardiya,PROPN
population,NOUN
declined,VERB
Researchers,NOUN
deployed,VERB
camera,NOUN
traps,NOUN
Chitwan,PROPN
Parsa,PROPN
Banke,PROPN
Bardiya,PROPN
Shuklaphanta,PROPN
Laljhadi,PROPN
landscapes,NOUN
personnel,NOUN
conducting,VERB
surveys,NOUN
photographing,VERB
tigers,NOUN
nights,NOUN
grid,NOUN
analysing,VERB
images,NOUN
tiger,NOUN
population,NOUN
increased,VERB
India,PROPN
remains,VERB
population,NOUN
tigers,NOUN
followed,VERB
Russia,PROPN
Indonesia,PROPN
Nepal,PROPN
census,NOUN
places,VERB
Indonesia,PROPN
WWF,PROPN
Nepal,PROPN
Country,PROPN
Representative,PROPN
Dr,PROPN
Ghana,PROPN
Shyam,PROPN
Gurung,PROPN
hailed,VERB
rise,NOUN
conservation,NOUN
achievement,NOUN
crediting,VERB
government,NOUN
leadership,NOUN
community,NOUN
stewardship,NOUN
collaboration,NOUN
conservation,NOUN
partners,NOUN
Conservationists,NOUN
cautioned,VERB
Nepal,PROPN
forests,NOUN
estimated,VERB
have,VERB
carrying,NOUN
capacity,NOUN
tigers,NOUN
meaning,VERB
population,NOUN
exceeds,VERB
habitat,NOUN
limit,NOUN
increase,NOUN
intensified,VERB
concerns,NOUN
human,NOUN
tiger,NOUN
conflict,NOUN
habitat,NOUN
fragmentation,NOUN
poaching,VERB
risks,NOUN
Nepal,PROPN
has,VERB
problem,NOUN
involved,VERB
attacks,NOUN
found,VERB
injured,VERB
rescued,VERB
settlements,NOUN
housed,VERB
enclosures,NOUN
Chitwan,PROPN
Bardiya,PROPN
Banke,PROPN
Central,PROPN
Zoo,PROPN
Jawalakhel,PROPN
address,VERB
growing,VERB
challenge,NOUN
government,NOUN
proposed,VERB
hectare,NOUN
Tiger,PROPN
Sanctuary,PROPN
Devnagar,PROPN
Chitwan,PROPN
rehabilitate,VERB
injured,VERB
conflict,NOUN
affected,VERB
tigers,NOUN
promoting,VERB
eco,PROPN
tourism,NOUN
WWF,PROPN
Nepal,PROPN
said,VERB
efforts,NOUN
focus,VERB
strengthening,VERB
community,NOUN
forest,NOUN
user,NOUN
groups,NOUN
buffer,VERB
zone,NOUN
committees,NOUN
governments,NOUN
improve,VERB
coexistence,NOUN
organisation,NOUN
plans,VERB
expand,VERB
community,NOUN
based,VERB
monitoring,NOUN
strengthen,VERB
warning,NOUN
systems,NOUN
response,NOUN
mechanisms,NOUN
engage,VERB
people,NOUN
conservation,NOUN
mobilise,VERB
sector,NOUN
investment,NOUN
